,duration,speaker,speaker_type,start_time,text,topic
0,28,RAMOS,moderator,0,RAMOS: [Speaking in Spanish],intro
1,210,SALINAS,moderator,28,"SALINAS [through translator]: This will be the first and only debate the candidates will do, taking into account the millions of [inaudible] voters [inaudible] Univision News, together with the Washington Post.",intro
2,140,RAMOS,moderator,238,"RAMOS [through translator]: Here with us tonight is Karen Tumulty, Washington Post correspondent [inaudible] specialized in national policy.",intro
3,50,APPLAUSE,audience,550,[applause],intro
4,50,APPLAUSE,audience,591,[applause],intro
5,339,SALINAS,moderator,378,"SALINAS: Welcome, Karen. SALINAS [through translator]: Now, we're going to welcome the protagonists of this debate. First, former Secretary of State Hillary Rodham Clinton. And Senator from Vermont Bernie Sanders. Welcome to both of you. Thank you for being here. [Speaking in Spanish] SALINAS [through translator]: Welcome to both of you.",intro
6,50,APPLAUSE,audience,920,[applause],intro
7,222,RAMOS,moderator,717,"RAMOS [through translator]: But before we continue, we want to welcome Sebastian de la Cruz who is going to sing the national anthem. Sebastian, welcome. Good evening. [The National Anthem is performed.] [commercial break]",intro
8,373,SALINAS,moderator,939,"SALINAS [through translator]: Thank you for being with us. The Washington Post and Facebook, these are the results of this debate that the candidates have accepted. They will have 90 seconds to answer each question. When their rival mentions them in an answer, they will have 30 seconds to answer and another 30 seconds to answer questions, follow-up questions that we ask.",intro
9,242,RAMOS,moderator,1312,"RAMOS [through translator]: We will make our questions in English and they will be translated simultaneously into Spanish for our viewers. And right now, each one of them has one minute for your initial words. We begin with Secretary Clinton.",intro
10,50,APPLAUSE,audience,1782,[applause],intro
11,1036,CLINTON,candidate,1554,"CLINTON: Thank you very much. I've been looking forward to this debate, and I want to thank Univision, the Washington Post, Facebook and Miami-Dade College, the largest college in North America for hosting us here this evening.  And tonight I am looking forward to the opportunity to discuss how we knock down the barriers that stand in the way of people getting ahead and staying ahead, starting with the economic ones. My focus is on more good paying jobs with rising incomes for families and how we prevent corporations from taking jobs out of our country by imposing an exit tax, making them pay back any tax breaks they've gotten. But we also need to be having a positive agenda for manufacturing. for small businesses and entrepreneurs, for more clean energy jobs. And I also look forward to discussing comprehensive immigration reform with a path to citizenship that will be one of my priorities in my first 100 days as president. And I will also be talking about education, every child deserves a good teacher and a good school.",intro
12,30,SALINAS,moderator,2590,"SALINAS: Thank you, Secretary.",intro
13,50,APPLAUSE,audience,2695,[applause],intro
14,75,CLINTON,candidate,2620,"CLINTON: And so thank you for having us, and I look forward to the debate. ",intro
15,58,SALINAS,moderator,2695,"SALINAS: Thank you. Senator Sanders, your opening remarks.",intro
16,50,APPLAUSE,audience,3065,[applause],intro
17,50,APPLAUSE,audience,3385,[applause],intro
18,858,SANDERS,candidate,2753,"SANDERS: Thank you â€” thank you all very much. I'm running for president of the United States because given the crises facing our country, it is just too late for establishment politics and establishment economics. Together we're going to have to overturn this disastrous Citizens United Supreme Court decision. Billionaires and Wall Street should not be buying elections. We've got to end this rigged economy where people are working longer hours for low wages, almost all new income and wealth going to the top 1 percent, and of course, we need comprehensive immigration reform and a path toward citizenship. And here in Miami... ...here in Miami as much as any city in America, we know that we have got to combat climate change, transform our energy system, and leave this planet in a way that is healthy and habitable for our kids and our grandchildren.",intro
19,196,SALINAS,moderator,3611,"SALINAS: Thank you, Senator. First question, Secretary, you have been starting to sound like the nominee lately, but many voters are saying, not so fast. Where did you fail last night in Michigan?",Michigan primary
20,761,CLINTON,candidate,3807,"CLINTON: Well, look, I won one of the contests and lost another close one. I am continuing to work hard for every single vote across our country. I was pleased that I got 100,000 more votes last night than my opponent and more delegates. So this is a marathon, and it's a marathon that can only be carried out by the kind of inclusive campaign that I'm running, a campaign that reaches out to everybody, a campaign that offers real positive solutions to the problems that we face, a campaign that is based on how together we can make progress, because I am a progressive who likes to get things done. So I'm excited about the upcoming contests, including right here in Florida. And we'll continue to work as hard as I can to earn the vote of every single voter.",Michigan primary
21,50,APPLAUSE,audience,4606,[applause],
22,134,SALINAS,moderator,4568,SALINAS: What went wrong in Michigan?  What went wrong in Michigan? What went wrong in Michigan? What failed in Michigan specifically?,Michigan primary
23,267,CLINTON,candidate,4702,"CLINTON: It was a very close race. We've had some of those. I've won some. I've lost some. But, you know, I was very pleased by the overall outcome last night. And now we're on to the states for next Tuesday and I'm looking forward to campaigning hard in all of them.",Michigan primary
