supports_tag,topic,count
Rubio,racial issues,7936
Trump,racial issues,7619
Sanders,socialism,6463
Sanders,racial issues,6365
Clinton,racial issues,5843
Rubio,immigration,4528
Trump,immigration,4465
Trump,benghazi,2729
Rubio,gop,2028
Cruz,immigration,1883
Trump,religion,1851
Trump,gop,1663
Cruz,racial issues,1504
Rubio,abortion,1485
Cruz,abortion,1398
Trump,jobs and economy,1364
Clinton,women's issues (not abortion though),1359
Sanders,jobs and economy,1291
Trump,abortion,1288
Rubio,clinton emails,1264
Cruz,religion,1256
Trump,women's issues (not abortion though),1225
Trump,clinton emails,1092
Rubio,jobs and economy,1016
Rubio,religion,997
Rubio,women's issues (not abortion though),885
Clinton,immigration,874
Sanders,immigration,855
Rubio,socialism,853
Clinton,clinton emails,773
Clinton,jobs and economy,765
Clinton,socialism,758
Sanders,women's issues (not abortion though),744
Clinton,benghazi,708
Trump,socialism,595
Clinton,religion,592
Clinton,abortion,584
Cruz,gop,537
Sanders,religion,517
Cruz,jobs and economy,466
Sanders,clinton emails,411
Clinton,gop,362
Rubio,benghazi,346
Sanders,gop,275
Cruz,benghazi,272
Sanders,abortion,270
Cruz,women's issues (not abortion though),209
Cruz,clinton emails,155
Cruz,socialism,83
Sanders,benghazi,83
