supports_tag,topic,count
Trump,jobs and economy,10667
Rubio,racial issues,7114
Trump,racial issues,6262
Clinton,racial issues,5876
Trump,immigration,4965
Sanders,racial issues,4921
Trump,women's issues (not abortion though),4596
Cruz,jobs and economy,4268
Clinton,jobs and economy,4095
Trump,religion,3997
Rubio,jobs and economy,3799
Rubio,women's issues (not abortion though),3700
Trump,gop,3528
Sanders,jobs and economy,2782
Trump,abortion,2720
Clinton,abortion,2530
Rubio,immigration,2486
Cruz,immigration,2330
Rubio,abortion,2256
Rubio,gop,2130
Cruz,abortion,2116
Cruz,racial issues,1817
Cruz,religion,1720
Clinton,women's issues (not abortion though),1655
Trump,benghazi,1643
Trump,veterans,1270
Rubio,religion,1250
Clinton,benghazi,1216
Rubio,veterans,1081
Trump,healthcare,1079
Sanders,women's issues (not abortion though),1047
Clinton,healthcare,880
Sanders,abortion,860
Clinton,religion,855
Cruz,healthcare,838
Cruz,women's issues (not abortion though),773
Rubio,healthcare,699
Clinton,gop,666
Clinton,immigration,615
Cruz,gop,596
Sanders,religion,548
Sanders,immigration,527
Sanders,healthcare,513
Cruz,benghazi,498
Cruz,veterans,465
Sanders,veterans,373
Clinton,veterans,362
Rubio,benghazi,282
Sanders,gop,273
Sanders,benghazi,115
