supports_tag,topic,count
Trump,women's issues (not abortion though),10078
Trump,jobs and economy,9478
Rubio,jobs and economy,8188
Sanders,women's issues (not abortion though),7711
Rubio,women's issues (not abortion though),6369
Rubio,abortion,6229
Clinton,women's issues (not abortion though),6100
Clinton,jobs and economy,5761
Cruz,jobs and economy,4769
Sanders,jobs and economy,4528
Trump,immigration,4525
Clinton,abortion,3170
Cruz,abortion,2988
Cruz,women's issues (not abortion though),2944
Trump,racial issues,2650
Trump,abortion,2638
Clinton,racial issues,2458
Rubio,racial issues,2425
Cruz,religion,2047
Cruz,racial issues,2024
Sanders,racial issues,1731
Trump,religion,1619
Cruz,immigration,1580
Rubio,obama,1452
Sanders,socialism,1432
Trump,isis,1349
Rubio,religion,1227
Sanders,abortion,1071
Clinton,obama,1048
Clinton,religion,957
Clinton,benghazi,887
Rubio,immigration,805
Trump,obama,671
Clinton,socialism,619
Sanders,religion,605
Rubio,isis,517
Clinton,immigration,506
Trump,benghazi,500
Cruz,isis,499
Cruz,obama,487
Cruz,benghazi,440
Rubio,benghazi,420
Trump,socialism,364
Clinton,isis,322
Sanders,obama,318
Cruz,socialism,282
Rubio,socialism,249
Sanders,immigration,214
Sanders,benghazi,182
Sanders,isis,169
