supports_tag,topic,count
Trump,jobs and economy,13823
Clinton,obama,5128
Clinton,racial issues,5105
Sanders,racial issues,4167
Trump,obama,3901
Trump,racial issues,3750
Trump,women's issues (not abortion though),2896
Sanders,obama,2791
Cruz,abortion,2770
Trump,immigration,2725
Sanders,socialism,2680
Rubio,obama,2599
Trump,abortion,2564
Rubio,racial issues,2312
Trump,religion,2300
Trump,iraq,2121
Clinton,iraq,2116
Cruz,jobs and economy,2083
Rubio,abortion,2051
Sanders,jobs and economy,2011
Clinton,jobs and economy,1948
Rubio,jobs and economy,1924
Cruz,obama,1871
Cruz,immigration,1463
Clinton,women's issues (not abortion though),1337
Clinton,abortion,1248
Cruz,racial issues,1205
Sanders,abortion,1164
Sanders,iraq,1074
Cruz,iraq,1068
Cruz,religion,950
Clinton,socialism,933
Rubio,immigration,924
Sanders,women's issues (not abortion though),914
Rubio,religion,913
Cruz,women's issues (not abortion though),908
Rubio,iraq,753
Trump,healthcare,617
Cruz,healthcare,551
Rubio,women's issues (not abortion though),548
Trump,socialism,519
Clinton,immigration,497
Clinton,religion,469
Sanders,immigration,379
Sanders,religion,358
Sanders,healthcare,290
Clinton,healthcare,286
Rubio,healthcare,248
Cruz,socialism,247
Rubio,socialism,205
