supports_tag,topic,count
Trump,jobs and economy,21687
Clinton,obama,8723
Trump,women's issues (not abortion though),7981
Clinton,racial issues,6634
Cruz,abortion,6359
Cruz,jobs and economy,5712
Trump,racial issues,5086
Trump,immigration,4980
Rubio,jobs and economy,4852
Trump,religion,4749
Sanders,racial issues,4610
Trump,iraq,4508
Clinton,jobs and economy,4459
Rubio,obama,4219
Trump,abortion,3851
Trump,obama,3786
Rubio,racial issues,3759
Rubio,abortion,3714
Sanders,obama,3199
Sanders,socialism,3174
Sanders,jobs and economy,3121
Rubio,iraq,2920
Clinton,abortion,2868
Cruz,women's issues (not abortion though),2798
Cruz,obama,2698
Clinton,women's issues (not abortion though),2655
Cruz,immigration,2494
Cruz,iraq,2264
Rubio,women's issues (not abortion though),1931
Rubio,religion,1914
Clinton,iraq,1896
Cruz,religion,1807
Sanders,women's issues (not abortion though),1658
Cruz,racial issues,1484
Rubio,immigration,1470
Clinton,religion,1448
Clinton,socialism,1438
Sanders,iraq,1298
Sanders,abortion,1256
Sanders,immigration,1035
Clinton,immigration,985
Sanders,religion,744
Trump,healthcare,724
Cruz,healthcare,702
Clinton,healthcare,625
Sanders,healthcare,478
Trump,socialism,442
Rubio,healthcare,425
Rubio,socialism,340
Cruz,socialism,201
