supports_tag,topic,count
Trump,immigration,24554
Sanders,socialism,12058
Trump,religion,11902
Rubio,immigration,8839
Rubio,religion,5622
Clinton,religion,5336
Trump,supreme court,5167
Trump,racial issues,5084
Clinton,immigration,4501
Cruz,immigration,4485
Rubio,racial issues,4305
Clinton,racial issues,4291
Sanders,religion,4232
Clinton,supreme court,4096
Rubio,supreme court,3848
Sanders,racial issues,3631
Clinton,socialism,3279
Trump,women's issues (not abortion though),3277
Sanders,immigration,3014
Sanders,jobs and economy,2898
Trump,jobs and economy,2892
Trump,socialism,2734
Clinton,women's issues (not abortion though),2668
Rubio,women's issues (not abortion though),2343
Cruz,religion,2066
Clinton,jobs and economy,1921
Sanders,supreme court,1856
Sanders,women's issues (not abortion though),1843
Rubio,jobs and economy,1735
Trump,abortion,1709
Clinton,gun control,1667
Rubio,abortion,1609
Clinton,abortion,1607
Rubio,socialism,1567
Trump,healthcare,1524
Clinton,healthcare,1496
Sanders,healthcare,1391
Cruz,abortion,1229
Cruz,healthcare,1084
Sanders,abortion,1022
Rubio,healthcare,1012
Cruz,racial issues,929
Cruz,women's issues (not abortion though),697
Cruz,jobs and economy,629
Cruz,supreme court,549
Trump,gun control,507
Sanders,gun control,502
Cruz,gun control,447
Rubio,gun control,373
Cruz,socialism,334
