supports_tag,topic,count
Trump,racial issues,5938
Trump,jobs and economy,4736
Sanders,racial issues,4469
Clinton,racial issues,4300
Trump,immigration,4092
Rubio,racial issues,3366
Trump,religion,3077
Sanders,jobs and economy,2884
Clinton,jobs and economy,2209
Trump,veterans,2121
Cruz,racial issues,2064
Sanders,socialism,2020
Cruz,religion,1939
Trump,women's issues (not abortion though),1760
Trump,gop,1701
Cruz,abortion,1527
Trump,abortion,1355
Clinton,women's issues (not abortion though),1251
Cruz,jobs and economy,1221
Cruz,immigration,1201
Trump,benghazi,1105
Rubio,immigration,1098
Sanders,women's issues (not abortion though),1091
Rubio,jobs and economy,1063
Clinton,abortion,1026
Rubio,religion,899
Rubio,abortion,784
Rubio,gop,742
Clinton,benghazi,709
Cruz,women's issues (not abortion though),658
Rubio,women's issues (not abortion though),549
Sanders,veterans,544
Cruz,gop,517
Clinton,religion,488
Sanders,religion,468
Sanders,abortion,444
Clinton,immigration,442
Trump,socialism,420
Clinton,socialism,401
Cruz,benghazi,395
Sanders,immigration,356
Rubio,veterans,340
Clinton,gop,272
Rubio,socialism,271
Clinton,veterans,227
Cruz,veterans,208
Rubio,benghazi,200
Cruz,socialism,162
Sanders,gop,147
Sanders,benghazi,63
