supports_tag,topic,count
Sanders,racial issues,12188
Trump,jobs and economy,11627
Clinton,racial issues,10858
Trump,religion,6559
Sanders,socialism,6371
Clinton,obama,6068
Sanders,obama,5548
Sanders,jobs and economy,4519
Trump,racial issues,4203
Trump,immigration,4150
Sanders,foreign policy,3629
Clinton,women's issues (not abortion though),3592
Clinton,jobs and economy,3440
Clinton,socialism,3248
Cruz,jobs and economy,3233
Cruz,abortion,3228
Cruz,racial issues,3146
Cruz,religion,3037
Trump,women's issues (not abortion though),2926
Rubio,abortion,2699
Sanders,immigration,2673
Rubio,racial issues,2608
Sanders,women's issues (not abortion though),2562
Cruz,women's issues (not abortion though),2320
Trump,obama,2076
Cruz,immigration,2076
Trump,abortion,1978
Clinton,foreign policy,1963
Cruz,obama,1894
Rubio,jobs and economy,1873
Clinton,abortion,1641
Clinton,immigration,1612
Rubio,religion,1362
Sanders,abortion,1315
Clinton,religion,1273
Trump,healthcare,1266
Rubio,obama,1150
Sanders,religion,1061
Cruz,socialism,1053
Rubio,women's issues (not abortion though),939
Rubio,immigration,857
Cruz,healthcare,833
Clinton,healthcare,807
Sanders,healthcare,758
Rubio,foreign policy,750
Trump,socialism,742
Trump,foreign policy,569
Cruz,foreign policy,467
Rubio,socialism,436
Rubio,healthcare,413
