supports_tag,topic,count
Sanders,jobs and economy,16170
Clinton,jobs and economy,5665
Trump,jobs and economy,4441
Rubio,jobs and economy,4203
Sanders,foreign policy,4026
Sanders,racial issues,3955
Rubio,abortion,3827
Trump,immigration,3573
Sanders,women's issues (not abortion though),3149
Rubio,racial issues,3062
Clinton,women's issues (not abortion though),2778
Sanders,iraq,2427
Trump,racial issues,2308
Sanders,abortion,2184
Sanders,religion,1934
Rubio,obama,1880
Trump,religion,1844
Cruz,abortion,1765
Cruz,jobs and economy,1626
Clinton,racial issues,1624
Sanders,obamacare,1601
Clinton,foreign policy,1509
Cruz,racial issues,1498
Clinton,abortion,1401
Sanders,obama,1397
Rubio,immigration,1395
Rubio,women's issues (not abortion though),1348
Trump,obama,1201
Trump,women's issues (not abortion though),1172
Rubio,religion,1161
Cruz,religion,1079
Clinton,iraq,1070
Trump,abortion,1048
Cruz,obamacare,1009
Clinton,obamacare,975
Clinton,obama,827
Cruz,immigration,787
Rubio,obamacare,688
Clinton,religion,671
Trump,obamacare,669
Sanders,immigration,612
Cruz,obama,586
Clinton,immigration,496
Cruz,women's issues (not abortion though),470
Rubio,foreign policy,352
Cruz,foreign policy,255
Rubio,iraq,220
Trump,foreign policy,127
Trump,iraq,59
Cruz,iraq,37
