supports_tag,topic,count
Rubio,abortion,10966
Clinton,abortion,4774
Trump,abortion,4013
Cruz,abortion,3944
Sanders,abortion,2097
Rubio,racial issues,1941
Trump,women's issues (not abortion though),1699
Trump,racial issues,1578
Clinton,benghazi,1571
Rubio,obama,1435
Clinton,obama,1273
Clinton,women's issues (not abortion though),1264
Sanders,racial issues,1216
Rubio,women's issues (not abortion though),1179
Sanders,obama,1153
Trump,immigration,1071
Clinton,racial issues,1050
Trump,religion,1045
Trump,benghazi,1017
Sanders,women's issues (not abortion though),956
Trump,obama,914
Rubio,religion,897
Cruz,religion,811
Cruz,women's issues (not abortion though),786
Trump,isis,686
Rubio,benghazi,683
Cruz,healthcare (including medicare),636
Sanders,jobs and economy,631
Sanders,healthcare (including medicare),613
Rubio,isis,593
Cruz,benghazi,579
Cruz,racial issues,573
Rubio,immigration,540
Cruz,obama,471
Rubio,jobs and economy,459
Cruz,immigration,449
Rubio,healthcare (including medicare),443
Clinton,healthcare (including medicare),394
Clinton,religion,366
Trump,jobs and economy,364
Clinton,jobs and economy,363
Trump,healthcare (including medicare),334
Clinton,isis,298
Sanders,religion,286
Cruz,isis,263
Cruz,jobs and economy,250
Clinton,immigration,236
Sanders,isis,232
Sanders,immigration,131
Sanders,benghazi,116
