supports_tag,topic,count
Clinton,women's issues (not abortion though),4387
Sanders,racial issues,4164
Clinton,racial issues,4053
Sanders,jobs and economy,3886
Trump,jobs and economy,3738
Trump,racial issues,3043
Trump,immigration,2590
Clinton,gun control,2102
Trump,religion,1935
Clinton,jobs and economy,1671
Sanders,women's issues (not abortion though),1339
Clinton,abortion,1143
Sanders,socialism,1024
Sanders,abortion,943
Cruz,abortion,923
Trump,gun control,905
Rubio,racial issues,875
Trump,women's issues (not abortion though),866
Sanders,gun control,822
Trump,gop,764
Trump,abortion,747
Sanders,poverty,717
Cruz,racial issues,643
Cruz,gun control,605
Clinton,poverty,582
Rubio,gop,578
Cruz,religion,553
Cruz,jobs and economy,552
Cruz,immigration,451
Sanders,religion,443
Rubio,jobs and economy,417
Clinton,socialism,410
Clinton,religion,400
Rubio,abortion,346
Trump,poverty,338
Sanders,immigration,315
Clinton,immigration,303
Rubio,religion,269
Rubio,women's issues (not abortion though),247
Cruz,women's issues (not abortion though),222
Rubio,immigration,219
Cruz,gop,198
Trump,socialism,191
Clinton,gop,163
Rubio,gun control,128
Sanders,gop,121
Cruz,poverty,77
Rubio,poverty,67
Cruz,socialism,66
Rubio,socialism,45
