supports_tag,topic,count
Trump,immigration,15306
Rubio,immigration,9967
Clinton,immigration,9904
Clinton,religion,9593
Sanders,socialism,8879
Clinton,racial issues,8687
Trump,religion,5654
Clinton,socialism,5368
Clinton,abortion,4711
Clinton,women's issues (not abortion though),4597
Rubio,religion,4394
Sanders,racial issues,4125
Clinton,supreme court,3558
Clinton,jobs and economy,3525
Cruz,immigration,3326
Clinton,healthcare,2845
Clinton,gun control,2760
Cruz,religion,2613
Sanders,religion,2260
Rubio,racial issues,2216
Trump,jobs and economy,2197
Cruz,healthcare,2151
Rubio,abortion,2151
Sanders,jobs and economy,2109
Trump,racial issues,1973
Rubio,healthcare,1871
Trump,women's issues (not abortion though),1825
Trump,healthcare,1806
Sanders,immigration,1692
Rubio,supreme court,1655
Rubio,jobs and economy,1619
Cruz,abortion,1606
Rubio,women's issues (not abortion though),1602
Trump,abortion,1480
Sanders,women's issues (not abortion though),1357
Sanders,healthcare,1078
Cruz,jobs and economy,996
Rubio,socialism,936
Sanders,abortion,764
Trump,supreme court,759
Trump,socialism,712
Cruz,women's issues (not abortion though),640
Cruz,racial issues,559
Sanders,gun control,499
Trump,gun control,470
Cruz,supreme court,426
Rubio,gun control,352
Cruz,gun control,337
Cruz,socialism,278
Sanders,supreme court,239
