supports_tag,topic,count
Trump,jobs and economy,27171
Cruz,jobs and economy,14527
Clinton,racial issues,13331
Clinton,obama,12964
Trump,women's issues (not abortion though),11466
Clinton,jobs and economy,11306
Rubio,jobs and economy,7561
Trump,immigration,7025
Trump,racial issues,6721
Sanders,racial issues,6408
Trump,religion,5946
Cruz,abortion,5878
Rubio,abortion,5441
Clinton,women's issues (not abortion though),5346
Clinton,abortion,5230
Cruz,women's issues (not abortion though),4868
Trump,obama,4710
Cruz,religion,4334
Trump,abortion,4110
Sanders,jobs and economy,3986
Sanders,socialism,3707
Sanders,obama,3454
Clinton,religion,3385
Cruz,racial issues,3300
Cruz,obama,3151
Rubio,racial issues,3073
Cruz,immigration,2726
Rubio,women's issues (not abortion though),2607
Clinton,immigration,2458
Clinton,socialism,2457
Rubio,religion,2277
Rubio,obama,2032
Sanders,women's issues (not abortion though),1864
Trump,iraq,1815
Sanders,foreign policy,1517
Rubio,immigration,1503
Clinton,iraq,1378
Clinton,foreign policy,1203
Sanders,abortion,1078
Trump,foreign policy,1064
Sanders,immigration,1024
Sanders,religion,804
Trump,socialism,716
Rubio,iraq,710
Cruz,iraq,677
Rubio,foreign policy,639
Sanders,iraq,604
Cruz,socialism,398
Cruz,foreign policy,354
Rubio,socialism,126
