supports_tag,topic,count
Trump,immigration,22954
Sanders,racial issues,16402
Sanders,socialism,11602
Trump,religion,8244
Clinton,racial issues,7608
Trump,racial issues,6991
Cruz,immigration,6873
Rubio,immigration,6083
Clinton,immigration,6005
Sanders,religion,5519
Clinton,religion,5196
Sanders,immigration,4883
Trump,jobs and economy,4213
Trump,supreme court,4033
Trump,women's issues (not abortion though),3857
Cruz,religion,3762
Clinton,socialism,3560
Sanders,women's issues (not abortion though),3461
Clinton,supreme court,3430
Clinton,women's issues (not abortion though),3294
Cruz,racial issues,3180
Sanders,jobs and economy,2915
Sanders,supreme court,2905
Clinton,abortion,2793
Trump,healthcare,2671
Sanders,healthcare,2594
Trump,abortion,2589
Rubio,religion,2417
Cruz,healthcare,2290
Rubio,racial issues,2089
Clinton,jobs and economy,2031
Cruz,abortion,2014
Sanders,abortion,1918
Clinton,gun control,1780
Trump,socialism,1730
Cruz,supreme court,1727
Clinton,healthcare,1676
Rubio,healthcare,1674
Cruz,jobs and economy,1292
Sanders,gun control,1277
Rubio,jobs and economy,1208
Rubio,abortion,1145
Cruz,women's issues (not abortion though),1069
Rubio,women's issues (not abortion though),924
Trump,gun control,865
Rubio,supreme court,847
Cruz,gun control,492
Cruz,socialism,458
Rubio,socialism,316
Rubio,gun control,147
