supports_tag,topic,count
Trump,veterans,17451
Cruz,veterans,9965
Cruz,abortion,5377
Clinton,abortion,4712
Clinton,veterans,4134
Cruz,immigration,2781
Clinton,racial issues,2263
Clinton,women's issues (not abortion though),2021
Rubio,veterans,1969
Cruz,racial issues,1825
Trump,immigration,1799
Rubio,abortion,1780
Cruz,religion,1674
Trump,abortion,1656
Cruz,healthcare (including medicare),1567
Cruz,women's issues (not abortion though),1527
Rubio,immigration,1495
Trump,women's issues (not abortion though),1418
Trump,religion,1342
Trump,racial issues,1300
Cruz,isis,1293
Clinton,jobs and economy,1146
Clinton,benghazi,1069
Clinton,isis,1064
Clinton,religion,1054
Sanders,veterans,1035
Trump,isis,1021
Rubio,isis,996
Cruz,jobs and economy,979
Clinton,immigration,946
Sanders,racial issues,900
Trump,benghazi,883
Sanders,women's issues (not abortion though),853
Clinton,healthcare (including medicare),785
Cruz,benghazi,785
Rubio,racial issues,732
Sanders,jobs and economy,680
Trump,jobs and economy,658
Sanders,abortion,625
Rubio,religion,621
Rubio,women's issues (not abortion though),550
Rubio,jobs and economy,511
Sanders,religion,465
Rubio,healthcare (including medicare),399
Rubio,benghazi,302
Trump,healthcare (including medicare),293
Sanders,healthcare (including medicare),269
Sanders,isis,193
Sanders,immigration,148
Sanders,benghazi,61
