supports_tag,topic,count
Cruz,benghazi,5093
Cruz,black lives matter,4145
Cruz,abortion,4108
Clinton,benghazi,2986
Sanders,black lives matter,2985
Cruz,gun control,2129
Clinton,abortion,1950
Trump,black lives matter,1778
Cruz,socialism,1739
Cruz,women's issues (not abortion though),1670
Cruz,healthcare (including medicare),1619
Clinton,gun control,1572
Cruz,obama,1497
Trump,benghazi,1409
Clinton,black lives matter,1381
Cruz,jobs and economy,1352
Sanders,socialism,1304
Clinton,women's issues (not abortion though),1192
Sanders,gun control,1045
Trump,women's issues (not abortion though),977
Sanders,jobs and economy,920
Cruz,immigration,910
Trump,abortion,817
Clinton,obama,659
Clinton,healthcare (including medicare),616
Trump,obama,613
Trump,immigration,575
Trump,gun control,522
Sanders,women's issues (not abortion though),512
Clinton,jobs and economy,509
Clinton,socialism,474
Clinton,immigration,468
Trump,socialism,464
Sanders,abortion,399
Trump,jobs and economy,388
Sanders,benghazi,368
Sanders,immigration,368
Trump,healthcare (including medicare),320
Sanders,obama,310
Sanders,healthcare (including medicare),115
Rubio,benghazi,45
Rubio,black lives matter,33
Rubio,jobs and economy,25
Rubio,abortion,21
Rubio,obama,19
Rubio,socialism,17
Rubio,women's issues (not abortion though),13
Rubio,healthcare (including medicare),9
Rubio,gun control,8
Rubio,immigration,6
