supports_tag,topic,count
Clinton,racial issues,12808
Trump,racial issues,12727
Sanders,racial issues,11662
Trump,jobs and economy,11112
Rubio,racial issues,8148
Sanders,socialism,7012
Trump,women's issues (not abortion though),6119
Trump,immigration,4932
Clinton,socialism,4625
Clinton,women's issues (not abortion though),4591
Sanders,women's issues (not abortion though),4487
Clinton,jobs and economy,3884
Sanders,jobs and economy,3872
Clinton,obama,3680
Rubio,abortion,3620
Rubio,jobs and economy,3597
Trump,obama,3429
Cruz,racial issues,3400
Clinton,abortion,3177
Trump,abortion,2870
Trump,socialism,2778
Trump,religion,2733
Rubio,women's issues (not abortion though),2149
Sanders,abortion,2120
Cruz,jobs and economy,2069
Sanders,obama,2051
Rubio,obama,1694
Cruz,abortion,1662
Trump,healthcare,1599
Cruz,women's issues (not abortion though),1323
Cruz,religion,1298
Cruz,immigration,1115
Rubio,socialism,1085
Cruz,obama,1014
Clinton,foreign policy,953
Cruz,socialism,935
Rubio,religion,905
Clinton,immigration,885
Clinton,religion,836
Rubio,immigration,834
Sanders,religion,809
Cruz,healthcare,727
Trump,foreign policy,683
Rubio,foreign policy,633
Sanders,healthcare,604
Clinton,healthcare,522
Sanders,immigration,495
Rubio,healthcare,479
Sanders,foreign policy,474
Cruz,foreign policy,226
