supports_tag,topic,count
Trump,jobs and economy,9451
Clinton,women's issues (not abortion though),8003
Clinton,jobs and economy,5909
Sanders,women's issues (not abortion though),5597
Trump,immigration,5483
Trump,women's issues (not abortion though),5266
Clinton,racial issues,4256
Sanders,jobs and economy,4045
Trump,racial issues,3323
Clinton,abortion,2721
Rubio,abortion,2697
Rubio,jobs and economy,2571
Sanders,socialism,2369
Clinton,obama,2310
Rubio,racial issues,2146
Sanders,racial issues,2105
Rubio,women's issues (not abortion though),2098
Cruz,jobs and economy,1773
Cruz,abortion,1771
Cruz,women's issues (not abortion though),1655
Clinton,immigration,1593
Trump,abortion,1498
Cruz,immigration,1483
Clinton,benghazi,1454
Trump,obama,1402
Clinton,socialism,1236
Trump,religion,1159
Cruz,racial issues,1141
Rubio,immigration,1096
Clinton,foreign policy,1054
Rubio,obama,1038
Cruz,religion,993
Clinton,religion,916
Sanders,obama,863
Trump,benghazi,829
Sanders,abortion,760
Sanders,foreign policy,724
Rubio,religion,659
Cruz,obama,490
Cruz,foreign policy,478
Sanders,religion,447
Sanders,immigration,445
Trump,socialism,422
Cruz,benghazi,399
Rubio,socialism,303
Trump,foreign policy,288
Rubio,benghazi,268
Rubio,foreign policy,256
Cruz,socialism,173
Sanders,benghazi,111
