supports_tag,topic,count
Trump,jobs and economy,8298
Trump,racial issues,8010
Sanders,jobs and economy,6142
Sanders,racial issues,5703
Trump,religion,4966
Cruz,racial issues,4137
Cruz,religion,4065
Trump,women's issues (not abortion though),3679
Clinton,racial issues,3643
Sanders,socialism,2665
Clinton,jobs and economy,2648
Trump,immigration,2635
Cruz,jobs and economy,2551
Clinton,women's issues (not abortion though),2446
Sanders,religion,2366
Sanders,isis,2242
Sanders,women's issues (not abortion though),2218
Rubio,racial issues,1928
Trump,abortion,1908
Trump,obama,1825
Cruz,abortion,1631
Rubio,jobs and economy,1340
Clinton,religion,1253
Sanders,obama,1200
Clinton,immigration,1183
Sanders,abortion,1095
Clinton,abortion,1091
Trump,socialism,927
Cruz,immigration,907
Cruz,obamacare,876
Clinton,obama,875
Cruz,women's issues (not abortion though),843
Trump,obamacare,823
Sanders,obamacare,821
Clinton,socialism,748
Cruz,socialism,702
Rubio,abortion,696
Sanders,immigration,642
Cruz,obama,632
Clinton,obamacare,525
Trump,isis,518
Rubio,religion,511
Rubio,women's issues (not abortion though),421
Rubio,immigration,417
Cruz,isis,368
Rubio,obama,355
Rubio,isis,348
Rubio,socialism,307
Rubio,obamacare,233
Clinton,isis,205
