supports_tag,topic,count
Sanders,socialism,14347
Trump,immigration,14342
Rubio,supreme court,11203
Rubio,immigration,10939
Rubio,religion,8042
Rubio,racial issues,7834
Clinton,socialism,5024
Rubio,socialism,4843
Cruz,immigration,4836
Clinton,racial issues,4574
Trump,religion,4088
Sanders,racial issues,3863
Clinton,religion,3792
Clinton,supreme court,3576
Clinton,immigration,3363
Sanders,religion,3288
Trump,racial issues,3183
Rubio,women's issues (not abortion though),3023
Sanders,jobs and economy,2928
Trump,supreme court,2868
Clinton,women's issues (not abortion though),2639
Rubio,abortion,2585
Sanders,immigration,2530
Clinton,gun control,2484
Rubio,jobs and economy,2442
Clinton,jobs and economy,2275
Cruz,religion,2080
Trump,women's issues (not abortion though),2076
Rubio,healthcare,1956
Trump,socialism,1757
Sanders,women's issues (not abortion though),1600
Sanders,healthcare,1594
Sanders,supreme court,1544
Clinton,healthcare,1408
Trump,jobs and economy,1390
Cruz,supreme court,1386
Trump,healthcare,1320
Clinton,abortion,1221
Trump,abortion,1186
Cruz,healthcare,1069
Cruz,racial issues,968
Cruz,abortion,928
Sanders,abortion,858
Rubio,gun control,761
Cruz,women's issues (not abortion though),672
Sanders,gun control,590
Cruz,jobs and economy,580
Cruz,socialism,495
Cruz,gun control,421
Trump,gun control,266
