supports_tag,topic,count
Trump,jobs and economy,8037
Trump,racial issues,6257
Clinton,racial issues,5747
Rubio,racial issues,5615
Rubio,jobs and economy,4948
Trump,gop,4698
Sanders,racial issues,4194
Cruz,jobs and economy,4109
Trump,women's issues (not abortion though),3697
Rubio,gop,3649
Trump,immigration,3623
Rubio,immigration,3188
Rubio,abortion,2525
Clinton,jobs and economy,2469
Trump,religion,2462
Trump,abortion,2398
Cruz,abortion,2322
Rubio,women's issues (not abortion though),2145
Rubio,veterans,2113
Rubio,religion,1933
Sanders,jobs and economy,1905
Clinton,abortion,1861
Cruz,religion,1842
Sanders,foreign policy,1776
Clinton,women's issues (not abortion though),1612
Cruz,racial issues,1597
Trump,healthcare,1480
Trump,veterans,1446
Cruz,immigration,1375
Clinton,gop,1040
Clinton,immigration,1020
Clinton,religion,1017
Sanders,women's issues (not abortion though),1000
Rubio,healthcare,974
Cruz,healthcare,907
Cruz,women's issues (not abortion though),879
Clinton,healthcare,849
Cruz,gop,732
Cruz,veterans,694
Sanders,immigration,661
Sanders,abortion,602
Clinton,veterans,525
Sanders,religion,465
Sanders,healthcare,342
Sanders,veterans,307
Clinton,foreign policy,298
Rubio,foreign policy,289
Trump,foreign policy,276
Sanders,gop,248
Cruz,foreign policy,67
