supports_tag,topic,count
Trump,immigration,11068
Sanders,socialism,7944
Trump,racial issues,4474
Rubio,immigration,4224
Clinton,racial issues,4113
Clinton,religion,4056
Cruz,immigration,3975
Cruz,religion,3636
Clinton,socialism,3516
Trump,religion,3463
Clinton,immigration,3180
Sanders,racial issues,2981
Clinton,women's issues (not abortion though),2740
Trump,women's issues (not abortion though),2232
Rubio,religion,2143
Cruz,healthcare,2026
Sanders,religion,1795
Sanders,jobs and economy,1778
Trump,jobs and economy,1639
Clinton,benghazi,1621
Clinton,gun control,1536
Cruz,abortion,1487
Clinton,jobs and economy,1465
Cruz,racial issues,1422
Sanders,women's issues (not abortion though),1385
Rubio,racial issues,1220
Trump,socialism,1122
Rubio,abortion,1106
Sanders,immigration,1090
Trump,abortion,1087
Clinton,abortion,1061
Rubio,women's issues (not abortion though),1054
Rubio,healthcare,1053
Cruz,jobs and economy,1050
Cruz,women's issues (not abortion though),1040
Trump,benghazi,1035
Clinton,healthcare,951
Rubio,jobs and economy,874
Cruz,socialism,845
Trump,healthcare,806
Sanders,healthcare,619
Cruz,benghazi,525
Rubio,socialism,494
Sanders,abortion,441
Sanders,gun control,389
Cruz,gun control,386
Trump,gun control,366
Sanders,benghazi,262
Rubio,gun control,244
Rubio,benghazi,179
