supports_tag,topic,count
Sanders,jobs and economy,8159
Cruz,racial issues,7799
Clinton,racial issues,7108
Clinton,jobs and economy,6384
Rubio,racial issues,5588
Sanders,racial issues,5001
Cruz,jobs and economy,4801
Trump,jobs and economy,4289
Clinton,women's issues (not abortion though),3780
Cruz,religion,3581
Trump,racial issues,3200
Trump,religion,2830
Cruz,abortion,2592
Clinton,college,2519
Rubio,jobs and economy,2460
Clinton,abortion,2432
Sanders,women's issues (not abortion though),1993
Clinton,religion,1973
Sanders,religion,1819
Cruz,obama,1808
Clinton,obama,1784
Sanders,socialism,1767
Cruz,immigration,1752
Cruz,women's issues (not abortion though),1692
Clinton,obamacare,1688
Trump,immigration,1670
Rubio,abortion,1531
Rubio,immigration,1338
Cruz,obamacare,1298
Clinton,immigration,1268
Rubio,religion,1251
Sanders,obamacare,1219
Trump,women's issues (not abortion though),1205
Clinton,socialism,1121
Sanders,abortion,1099
Rubio,women's issues (not abortion though),937
Trump,obama,793
Rubio,obama,785
Sanders,obama,698
Sanders,college,675
Trump,abortion,674
Trump,obamacare,580
Cruz,socialism,570
Rubio,obamacare,406
Sanders,immigration,362
Rubio,socialism,240
Trump,socialism,147
Cruz,college,144
Rubio,college,104
Trump,college,39
