supports_tag,topic,count
Trump,jobs and economy,11086
Trump,immigration,8544
Rubio,racial issues,8542
Sanders,socialism,6161
Sanders,women's issues (not abortion though),6101
Rubio,jobs and economy,5956
Trump,women's issues (not abortion though),5779
Rubio,women's issues (not abortion though),4801
Trump,racial issues,4519
Clinton,women's issues (not abortion though),4369
Rubio,obama,4361
Sanders,jobs and economy,4099
Rubio,abortion,4033
Sanders,racial issues,3618
Clinton,racial issues,3408
Clinton,jobs and economy,3141
Rubio,socialism,2606
Rubio,immigration,2602
Trump,religion,2427
Trump,obama,2388
Clinton,obama,2172
Clinton,socialism,2049
Sanders,obama,1818
Trump,isis,1770
Rubio,religion,1739
Trump,socialism,1459
Clinton,abortion,1421
Sanders,abortion,1347
Cruz,jobs and economy,1301
Cruz,racial issues,1291
Trump,abortion,1238
Cruz,immigration,1143
Cruz,abortion,1068
Cruz,women's issues (not abortion though),1035
Rubio,healthcare,880
Clinton,immigration,852
Cruz,religion,834
Sanders,healthcare,807
Sanders,immigration,714
Sanders,religion,714
Clinton,religion,687
Rubio,isis,670
Cruz,obama,513
Trump,healthcare,495
Clinton,healthcare,488
Cruz,healthcare,400
Clinton,isis,305
Cruz,socialism,274
Cruz,isis,212
Sanders,isis,151
