supports_tag,topic,count
Sanders,racial issues,8081
Clinton,racial issues,6725
Trump,racial issues,6704
Rubio,racial issues,6584
Sanders,socialism,3485
Trump,immigration,2763
Trump,jobs and economy,2189
Trump,gop,2185
Cruz,racial issues,1854
Cruz,abortion,1669
Trump,religion,1411
Trump,abortion,1323
Sanders,abortion,1305
Sanders,jobs and economy,1279
Rubio,gop,1257
Sanders,women's issues (not abortion though),1189
Rubio,immigration,1168
Trump,benghazi,1110
Rubio,jobs and economy,1075
Rubio,abortion,1000
Clinton,women's issues (not abortion though),995
Trump,women's issues (not abortion though),970
Rubio,women's issues (not abortion though),906
Rubio,religion,898
Clinton,abortion,872
Clinton,immigration,813
Cruz,religion,787
Clinton,jobs and economy,777
Rubio,socialism,774
Clinton,benghazi,707
Trump,socialism,591
Trump,obama,588
Clinton,religion,587
Sanders,religion,580
Cruz,immigration,558
Sanders,obama,536
Clinton,obama,511
Clinton,socialism,494
Clinton,gop,481
Sanders,gop,462
Sanders,immigration,460
Cruz,jobs and economy,391
Cruz,gop,357
Rubio,obama,309
Cruz,women's issues (not abortion though),302
Cruz,benghazi,301
Rubio,benghazi,141
Cruz,socialism,108
Sanders,benghazi,101
Cruz,obama,74
