supports_tag,topic,count
Sanders,racial issues,18568
Clinton,racial issues,14240
Trump,jobs and economy,8897
Sanders,socialism,8455
Sanders,jobs and economy,7809
Sanders,obama,6618
Trump,racial issues,5933
Rubio,racial issues,5682
Sanders,women's issues (not abortion though),5018
Clinton,obama,4899
Clinton,women's issues (not abortion though),4711
Clinton,jobs and economy,4480
Sanders,foreign policy,4098
Trump,religion,4015
Clinton,socialism,3340
Trump,immigration,3314
Trump,women's issues (not abortion though),3247
Rubio,jobs and economy,2838
Clinton,abortion,2745
Clinton,foreign policy,2648
Trump,obama,2630
Rubio,abortion,2534
Sanders,abortion,2434
Trump,abortion,2383
Rubio,obama,2231
Clinton,immigration,2161
Sanders,immigration,2004
Cruz,racial issues,1951
Trump,healthcare,1895
Cruz,jobs and economy,1880
Sanders,healthcare,1643
Cruz,abortion,1591
Cruz,religion,1451
Sanders,religion,1364
Rubio,religion,1330
Cruz,immigration,1315
Rubio,women's issues (not abortion though),1266
Trump,socialism,1226
Clinton,religion,1224
Rubio,foreign policy,1180
Rubio,immigration,1014
Cruz,obama,983
Clinton,healthcare,977
Rubio,socialism,910
Cruz,women's issues (not abortion though),771
Cruz,healthcare,688
Trump,foreign policy,620
Cruz,socialism,463
Rubio,healthcare,432
Cruz,foreign policy,291
