supports_tag,topic,count
Trump,immigration,4986
Trump,racial issues,4823
Trump,benghazi,4623
Trump,jobs and economy,3633
Sanders,jobs and economy,3161
Sanders,racial issues,3014
Clinton,benghazi,3006
Clinton,racial issues,2996
Rubio,racial issues,2869
Sanders,immigration,2525
Clinton,immigration,2071
Trump,religion,2068
Trump,women's issues (not abortion though),1992
Clinton,jobs and economy,1898
Cruz,jobs and economy,1868
Sanders,socialism,1664
Cruz,racial issues,1619
Cruz,benghazi,1508
Clinton,socialism,1374
Clinton,abortion,1204
Trump,abortion,1112
Cruz,abortion,1089
Trump,veterans,1038
Clinton,women's issues (not abortion though),1025
Cruz,immigration,928
Trump,obama,902
Clinton,obama,857
Rubio,women's issues (not abortion though),792
Rubio,jobs and economy,739
Cruz,women's issues (not abortion though),737
Cruz,religion,727
Rubio,immigration,590
Sanders,benghazi,588
Rubio,abortion,588
Rubio,religion,582
Sanders,women's issues (not abortion though),528
Rubio,benghazi,502
Sanders,abortion,473
Clinton,veterans,415
Sanders,obama,400
Cruz,veterans,396
Clinton,religion,374
Sanders,religion,363
Trump,socialism,359
Sanders,veterans,286
Rubio,obama,237
Cruz,obama,232
Rubio,veterans,185
Cruz,socialism,166
Rubio,socialism,112
