supports_tag,topic,count
Clinton,clinton emails,11898
Trump,veterans,10089
Trump,clinton emails,6427
Sanders,racial issues,3446
Cruz,clinton emails,3402
Clinton,abortion,3256
Cruz,veterans,2760
Cruz,abortion,2657
Cruz,healthcare (including medicare),2425
Clinton,benghazi,2366
Clinton,racial issues,2290
Clinton,veterans,2271
Clinton,women's issues (not abortion though),2209
Sanders,clinton emails,1888
Sanders,women's issues (not abortion though),1865
Rubio,clinton emails,1848
Trump,immigration,1822
Trump,racial issues,1680
Trump,abortion,1538
Trump,benghazi,1358
Cruz,immigration,1352
Trump,women's issues (not abortion though),1335
Cruz,religion,1309
Trump,religion,1190
Sanders,jobs and economy,1158
Cruz,racial issues,1136
Clinton,healthcare (including medicare),1032
Cruz,benghazi,836
Clinton,jobs and economy,829
Sanders,veterans,813
Cruz,women's issues (not abortion though),801
Clinton,immigration,718
Clinton,religion,714
Trump,jobs and economy,621
Rubio,veterans,563
Cruz,jobs and economy,555
Sanders,abortion,550
Sanders,healthcare (including medicare),529
Rubio,abortion,463
Rubio,immigration,417
Trump,healthcare (including medicare),403
Rubio,racial issues,339
Rubio,benghazi,288
Sanders,religion,285
Rubio,religion,233
Rubio,women's issues (not abortion though),191
Sanders,immigration,189
Rubio,jobs and economy,164
Rubio,healthcare (including medicare),158
Sanders,benghazi,154
