supports_tag,topic,count
Cruz,abortion,8624
Cruz,black lives matter,5882
Sanders,black lives matter,5751
Cruz,benghazi,3671
Cruz,women's issues (not abortion though),3208
Clinton,abortion,2923
Sanders,gun control,2852
Cruz,gun control,2692
Trump,women's issues (not abortion though),2380
Trump,abortion,2377
Clinton,women's issues (not abortion though),2209
Trump,black lives matter,2158
Cruz,healthcare (including medicare),2157
Clinton,gun control,2126
Sanders,socialism,2026
Cruz,obama,1900
Clinton,black lives matter,1851
Clinton,benghazi,1755
Sanders,jobs and economy,1709
Sanders,women's issues (not abortion though),1380
Cruz,immigration,1352
Sanders,abortion,1297
Cruz,socialism,1294
Cruz,jobs and economy,1034
Trump,obama,925
Trump,benghazi,919
Trump,immigration,823
Clinton,obama,801
Sanders,immigration,752
Trump,gun control,646
Sanders,obama,623
Clinton,healthcare (including medicare),555
Sanders,benghazi,544
Clinton,immigration,535
Trump,healthcare (including medicare),487
Clinton,jobs and economy,448
Rubio,abortion,351
Trump,socialism,334
Clinton,socialism,323
Trump,jobs and economy,293
Sanders,healthcare (including medicare),222
Rubio,black lives matter,167
Rubio,healthcare (including medicare),146
Rubio,women's issues (not abortion though),137
Rubio,gun control,115
Rubio,immigration,97
Rubio,obama,86
Rubio,benghazi,84
Rubio,jobs and economy,79
Rubio,socialism,58
