supports_tag,topic,count
Sanders,racial issues,7846
Clinton,racial issues,7777
Trump,jobs and economy,7132
Sanders,jobs and economy,5708
Trump,racial issues,5182
Trump,immigration,2898
Clinton,jobs and economy,2828
Trump,gun control,2818
Clinton,gun control,2749
Trump,religion,2422
Clinton,women's issues (not abortion though),1985
Sanders,flintwatercrisis,1979
Sanders,gun control,1735
Sanders,socialism,1731
Trump,women's issues (not abortion though),1552
Trump,abortion,1379
Clinton,flintwatercrisis,1305
Sanders,religion,1294
Rubio,racial issues,1211
Sanders,women's issues (not abortion though),1187
Cruz,racial issues,1111
Trump,benghazi,1042
Cruz,abortion,1012
Clinton,religion,921
Cruz,religion,766
Cruz,jobs and economy,729
Clinton,socialism,650
Clinton,benghazi,621
Sanders,immigration,612
Clinton,abortion,612
Cruz,immigration,595
Clinton,immigration,485
Rubio,jobs and economy,452
Cruz,gun control,440
Sanders,abortion,431
Trump,socialism,429
Rubio,abortion,372
Rubio,immigration,357
Trump,flintwatercrisis,294
Rubio,religion,267
Cruz,women's issues (not abortion though),264
Cruz,benghazi,259
Rubio,women's issues (not abortion though),227
Rubio,gun control,179
Cruz,socialism,138
Sanders,benghazi,118
Rubio,flintwatercrisis,85
Rubio,socialism,52
Rubio,benghazi,52
Cruz,flintwatercrisis,30
